code,name,board,start_date,end_date,deal_date,price_range,money,luck,price,pe,recommend,blueshoe,可比公司,超购倍数,募资总额,dark_rise,rise,cul_rise,security
1665,槟杰科达,主板,12-29(周五),01-12(周五),01-19(周五),0.9-1.1,4400,15.02%,1,22-27,不建议,-,深南电路,8.63,4.34,4.00%,-2.00%,-,浩德融资
3699,光大永年,主板,12-29(周五),01-08(周一),01-16(周二),1.3-1.49,2980,80.21%,1.41,15-17.7,不建议,50.00%,SOHO中国,30,1.55,2.13%,0.00%,-,光大证券/农银国际
3309,希玛眼科,主板,12-29(周五),01-08(周一),01-15(周一),2.35-2.9,5800,8.00%,2.9,54-67,建议申购,30.00%,爱尔眼科,1568.3,5.7,71.00%,76.21%,-,招商证券
8371,尝高美,创业板,12-29(周五),01-05(周五),01-17(周三),0.86-1.09,4360,100.00%,0.92,24-30,不建议,-,高门集团,12.33,0.92,-7.60%,-8.70%,-,东兴证券
8513,迎宏控股,创业板,12-29(周五),01-04(周四),01-19(周五),0.6-0.7,2800,75.00%,0.65,24-28,不建议,-,永胜医疗,17.47,0.65,38.46%,4.62%,-,富强金融
6182,乙德投资,主板,12-29(周五),01-04(周四),01-17(周三),0.52-0.68,5440,40.01%,0.65,15-19,不建议,-,信越控股,51.51,1.3,20.00%,3.08%,-,丰盛融资
8479,金泰丰,创业板,12-29(周五),01-04(周四),01-17(周三),0.5,2000,100.00%,0.5,9.4,不建议,-,新海能源,13,0.525,8.00%,24.00%,-,新华汇富
8285,森浩集团,创业板,12-29(周五),01-04(周四),01-16(周二),0.43,2150,100.00%,0.43,32,不建议,-,米兰站,251,0.602,58.14%,1.16%,-,新华汇富
8487,ISP,创业板,12-29(周五),01-04(周四),01-16(周二),0.3-0.4,4000,8.80%,0.35,30-40,不建议,-,致丰工业,10,0.7,14.29%,99.99%,-,新华汇富
8493,龙皇集团,创业板,12-29(周五),01-04(周四),01-16(周二),0.18-0.26,3120,35.00%,0.21,230-333,不建议,-,高门集团,10.84,0.76,4.29%,1.90%,-,富比资本
8350,骏溢环球,创业板,12-29(周五),01-04(周四),01-12(周五),0.375-0.425,3400,30.01%,0.4,25-29,不建议,-,弘业期货,9.08,0.8,5.00%,3.75%,-,同人融资
8509,威扬酒业,创业板,12-29(周五),01-04(周四),01-12(周五),0.55-0.75,3000,20.00%,0.75,23-32,不建议,-,天喔国际,13.5,0.9,13.33%,6.67%,-,创升融资
8287,ZIONCOM,创业板,12-28(周四),01-08(周一),01-18(周四),0.28-0.52,5200,40.01%,0.43,13.3-24.8,不建议,-,中兴通讯,14.04,0.85,12.79%,-12.79%,-,力高企业
2292,晋安实业,主板,12-28(周四),01-08(周一),01-16(周二),1-1.24,2480,100.00%,1.24,3-3.72,尚可申购,-,SOHO中国,23.55,2.23,-1.61%,5.65%,-,凯基金融
6158,正荣地产,主板,12-28(周四),01-08(周一),01-16(周二),3.4-4.08,4080,100.00%,3.99,9.65-11.6,不建议,150.00%,龙光地产,1.79,39.9,-1.75%,0.25%,-,建银国际
8313,杰地集团,创业板,12-28(周四),01-04(周四),01-16(周二),0.26-0.33,3300,25.00%,0.32,16-20.6,不建议,-,LHN,6.79,1.6,1.56%,1.56%,-,光大证券/创升融资
2448,恒宇集团,主板,12-28(周四),01-03(周三),01-16(周二),1-1.4,3500,100.00%,1.2,11月15日,不建议,-,建鹏控股,15.21,2.28,-8.33%,-17.50%,-,创侨国际
8506,中国福纺,创业板,12-20(周三),12-27(周三),01-04(周四),0.18-0.28,3360,100.00%,0.22,14-22,不建议,-,飞霓控股,114.04,0.66,-6.80%,-14.55%,-,安信国际
2025,瑞丰动力,主板,12-19(周二),12-22(周五),01-05(周五),1.6-1.68,3360,60.50%,1.68,11.6-12.19,不建议,-,新晨动力,17,3.36,3.57%,1.19%,-,国泰君安
3738,阜博集团,主板,12-19(周二),12-22(周五),01-04(周四),2.5-3.7,3700,30.01%,2.58,47-70,不建议,150.00%,捷成集团,4.97,2.064,21.70%,20.16%,-,中信证券
8501,庄皇集团,创业板,12-18(周一),12-21(周四),01-04(周四),1.56-2.04,4080,40.35%,1.56,13-17,不建议,-,承达集团,7.56,0.78,0.60%,9.62%,-,光大证券
1730,LHN,主板,12-15(周五),12-20(周三),12-29(周五),1.9-2.36,4720,100.00%,1.9,8.7-10.8,不建议,-,方圆房服,4.93,0.798,28.95%,71.05%,-,富强金融
